Reference, Value, Footprint, Datasheet, Digikey
"A1","Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"U2","PCF8574A","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf","568-1074-1-ND"
"R15","10k","Resistor_SMD:R_0805_2012Metric","~","A130489CT-ND"
"R13","10k","Resistor_SMD:R_0805_2012Metric","~","A130489CT-ND"
"SW1","Rotary_Encoder_Switch","Parts:RotaryEncoder_CTS_MC290V-Switch_Vertical_H20mm","~","CT3007-ND"
"J3","5V Power Input","Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal","~","455-4226-ND"
"J14","LCD_4x20 LCM-S02004DSF","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~","67-1763-ND"
"RV2","1k","Potentiometer_SMD:Potentiometer_Bourns_3269W_Vertical","~","3269W-1-102GLFCT-ND"
"R16","4k7","Resistor_SMD:R_0805_2012Metric","~","A130485CT-ND"
"R14","470","Resistor_SMD:R_0805_2012Metric","~","A130473CT-ND"
"R3","10k","Resistor_SMD:R_0805_2012Metric","~","A130489CT-ND"
"R1","10k","Resistor_SMD:R_0805_2012Metric","~","A130489CT-ND"
"R10","10k","Resistor_SMD:R_0805_2012Metric","~","A130489CT-ND"
"J9","I2C_external","Connector_Molex:Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal","~","WM7608CT-ND"
"J12","SGL_Messung","Connector_Molex:Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal","~","WM7610CT-ND"
"RV3","10k","Potentiometer_SMD:Potentiometer_Bourns_3269W_Vertical","~","3269W-1-103GLFCT-ND "
"R18","330","Resistor_SMD:R_0805_2012Metric","~","A130471CT-ND"
"Q3","SBC817-40LT3G","Package_TO_SOT_SMD:SOT-23","~","SBC817-40LT3GOSCT-ND"
"R17","4k7","Resistor_SMD:R_0805_2012Metric","~","A130485CT-ND"
"JP1","BL_ON","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"Q1","BD679","Package_TO_SOT_THT:TO-126-3_Vertical","~","497-5776-ND"
"J2","12V_IN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R6","100","Resistor_SMD:R_0805_2012Metric","~","A130465CT-ND"
"J10","Fan","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R9","10k","Resistor_SMD:R_0805_2012Metric","~","A130489CT-ND"
"R11","4k7","Resistor_SMD:R_0805_2012Metric","~","A130485CT-ND"
"J6","Temp","Connector_Molex:Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal","~","WM7607CT-ND"
"H1","MountingHole","MountingHole:MountingHole_3.5mm","~"
"H3","MountingHole","MountingHole:MountingHole_3.5mm","~"
"H2","MountingHole","MountingHole:MountingHole_3.5mm","~"
"C7","100n","Capacitor_SMD:C_0805_2012Metric","~","399-1168-1-ND"
"R5","330","Resistor_SMD:R_0805_2012Metric","~","A130471CT-ND"
"D2","LED","LED_SMD:LED_0805_2012Metric","~"
"U1","ADuM7701","Package_SO:SOIC-8_7.5x5.85mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM7701.pdf","ADUM7701-8BRIZ-ND"
"C5","10u","Capacitor_SMD:C_0805_2012Metric","~"," 399-7413-1-ND"
"C6","100n","Capacitor_SMD:C_0805_2012Metric","~","399-1168-1-ND"
"D1","MM3Z5V1","Diode_SMD:D_SOD-323F","~","MM3Z5V1CCT-ND"
"R8","10","Resistor_SMD:R_0805_2012Metric","~","A130453CT-ND"
"R7","10","Resistor_SMD:R_0805_2012Metric","~","A130453CT-ND"
"C1","220p","Capacitor_SMD:C_0805_2012Metric","~","399-15470-1-ND"
"C2","220p","Capacitor_SMD:C_0805_2012Metric","~","399-15470-1-ND"
"R4","1k","Resistor_SMD:R_0805_2012Metric","~"," A130477CT-ND"
"RV1","5k","Potentiometer_SMD:Potentiometer_Bourns_3269W_Vertical","~","3269W-1-502GLFCT-ND "
"R2","620k","Resistor_SMD:R_0805_2012Metric","~","A103228CT-ND"
"C3","10u","Capacitor_SMD:C_0805_2012Metric","~"," 399-7413-1-ND"
"C4","100n","Capacitor_SMD:C_0805_2012Metric","~","399-1168-1-ND"
"Q2","SBC817-40LT3G","Package_TO_SOT_SMD:SOT-23","~","SBC817-40LT3GOSCT-ND"
"R12","470","Resistor_SMD:R_0805_2012Metric","~","A130473CT-ND"
"J5","D10","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J1","TRX Input Power","Connector_Molex:Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal","~","WM7606CT-ND"
"RV4","1k","Potentiometer_SMD:Potentiometer_Bourns_3269W_Vertical","~","3269W-1-102GLFCT-ND"
"R19","4k7","Resistor_SMD:R_0805_2012Metric","~","A130485CT-ND"
"J7","13V_Messung","Connector_Molex:Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal","~","WM7606CT-ND"
"J8","GND","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J13","D13","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J16","A7","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J11","GPSDO_LED","Connector_Molex:Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal","~","WM7606CT-ND"
"R20","10k","Resistor_SMD:R_0805_2012Metric","~","A130489CT-ND"
