Reference, Value, Footprint, Datasheet, DigiKey
"R2","6k19 1%","Resistor_SMD:R_0805_2012Metric","~","541-6.19KCCT-ND"
"R3","59k 1%","Resistor_SMD:R_0805_2012Metric","~","541-59.0KCCT-ND"
"C1","22u 25V","Capacitor_Tantalum_SMD:CP_EIA-7343-30_AVX-N","~","478-4106-1-ND"
"C5","4.7u 25V","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H","~","478-11105-6-ND"
"L3","1uH","Inductor_SMD:L_1008_2520Metric","~","308-2608-1-ND"
"L1","10uH 1.6A","Inductor_SMD:L_7.3x7.3_H3.5","~","308-2127-1-ND"
"C4","22u 25V","Capacitor_Tantalum_SMD:CP_EIA-7343-30_AVX-N","~","478-4106-1-ND"
"D1","MBR130","Diode_SMD:D_SOD-123","~","MBR130T1GOSCT-ND"
"F7","200mA","Fuse:Fuse_Littelfuse-NANO2-451_453","~","F3651CT-ND"
"J2","5V MW","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","~"
"J5","USB_Hub","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","~"
"J9","LNBP","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","~"
"J3","PlutoSDR","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","~"
"J4","Leo_Bodnar","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","~"
"J7","db4um_PA","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","~"
"J8","Arduino","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","~"
"J1","24V MW","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","~"
"J6","SG-Labs_PA","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","~"
"F1","1.6A","Fuse:Fuse_Littelfuse-NANO2-451_453","~","F5965CT-ND"
"F2","1A","Fuse:Fuse_Littelfuse-NANO2-451_453","~","F5965CT-ND"
"F3","1A","Fuse:Fuse_Littelfuse-NANO2-451_453","~","F5965CT-ND"
"F4","500mA","Fuse:Fuse_Littelfuse-NANO2-451_453","~","F5964CT-ND"
"F5","500mA","Fuse:Fuse_Littelfuse-NANO2-451_453","~","F5964CT-ND"
"F6","500mA","Fuse:Fuse_Littelfuse-NANO2-451_453","~","F5964CT-ND"
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad","~"
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad","~"
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad","~"
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad","~"
"Q1","Si2371EDS","Package_TO_SOT_SMD:SOT-23","http://www.vishay.com/docs/63924/si2371eds.pdf","SI2371EDS-T1-GE3CT-ND"
"R8","10k","Resistor_SMD:R_0805_2012Metric","~","541-3976-1-ND"
"R9","0R","Resistor_SMD:R_0805_2012Metric","~","541-4126-1-ND"
"TP1","PlutoSDR /EN","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP3","GND","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"U1","LT1372CS8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/13727fbs.pdf","LT1372CS8#TRPBFCT-ND"
"R1","2k","Resistor_SMD:R_0805_2012Metric","~"," 541-4134-1-ND"
"C2","0.0047u","Capacitor_SMD:C_1206_3216Metric","~","478-10870-1-ND"
"C3","0.047u","Capacitor_SMD:C_1206_3216Metric","~","478-3793-1-ND"
